file,pcm_fftMag_mfcc[0],pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_fftMag_mfcc_de[0],pcm_fftMag_mfcc_de[1],pcm_fftMag_mfcc_de[2],pcm_fftMag_mfcc_de[3],pcm_fftMag_mfcc_de[4],pcm_fftMag_mfcc_de[5],pcm_fftMag_mfcc_de[6],pcm_fftMag_mfcc_de[7],pcm_fftMag_mfcc_de[8],pcm_fftMag_mfcc_de[9],pcm_fftMag_mfcc_de[10],pcm_fftMag_mfcc_de[11],pcm_fftMag_mfcc_de[12],pcm_fftMag_mfcc_de_de[0],pcm_fftMag_mfcc_de_de[1],pcm_fftMag_mfcc_de_de[2],pcm_fftMag_mfcc_de_de[3],pcm_fftMag_mfcc_de_de[4],pcm_fftMag_mfcc_de_de[5],pcm_fftMag_mfcc_de_de[6],pcm_fftMag_mfcc_de_de[7],pcm_fftMag_mfcc_de_de[8],pcm_fftMag_mfcc_de_de[9],pcm_fftMag_mfcc_de_de[10],pcm_fftMag_mfcc_de_de[11],pcm_fftMag_mfcc_de_de[12]
Soccerfield-01,1,-2.7664352124489793,8.390184025204084,-5.05868658265306,137.51765714285716,-22.50260081632653,5.195119635714287,8.668585773469387,-7.062495891836726,0.3849847240265302,-10.230854590816334,13.166776187755097,15.926493047959179,-5.630024798979593,-0.04240470163265307,-0.145594393877551,0.021711618367346943,0.03929118961224477,-0.16574310956122448,-0.05608806816326537,0.017783565714285878,0.13357751959183672,0.05215228214285723,0.1273396930612245,0.18043673163265317,-0.07081424581632648,-0.05984188163265307,-0.009533737172448993,-0.018753703979591845,0.0028684436846938928,-0.0002912360102040876,-0.020246819316326534,0.010250868510204092,0.024557547802040836,0.05712773877551018,-0.02336515449999999,-0.04990345795918365,0.009148302653061218,-0.022256288571428584,-0.016034894132653063
Soccerfield-02,1,-3.6835721867346938,0.933511098367347,-2.99632551897959,129.5007867346939,-15.759020214285718,10.415777933673473,15.473077030612242,4.877472156734695,-2.1260751875510207,2.11299275877551,7.325381594183674,8.352333588979596,1.4541408816326535,-0.00032877340816326727,0.15060433846938778,0.11147892040816329,0.033803173061224503,0.009597504591836704,0.02656541681632647,-0.03140552641836736,0.029939766326530646,0.024565304795918314,-0.12514520102040824,-0.0539416724489796,-0.029580085102040875,-0.06648326540816327,-0.0168408986632653,-0.03811349588775517,-0.0430111431632653,-0.004734042836734702,-0.05073953844897962,-0.03106552030612244,0.00869354908163265,0.026324264337755122,0.03786750836734695,0.042877263265306095,-0.009394728214285707,-0.0011353362142857341,-0.014282510663265344
Soccerfield-03,1,-5.724839340714284,2.237723660408162,-0.7663125000000002,140.99591020408167,-17.319338602040812,-1.3080429622448977,-1.303015669387753,-2.085238946122451,-3.033908524489796,0.8869365858061221,8.019472261326529,5.7548579607142845,1.4476031153061222,-0.04828784857142857,-0.28977021459183677,-0.0995003498979592,0.1771745189081633,0.009603159959183696,-0.2031350416326531,-0.5427987284693877,0.00366235612244904,-0.005699749795918433,0.020954585020408194,-0.0010315018367347151,0.161853425,0.07743432683673473,-0.001715467490816334,0.01731418512244899,-0.030420067908163262,-0.01381225654081632,-0.00639691070408163,0.031141172091836762,0.03651686397959184,0.046215198979591816,0.02803108153061224,-0.0017155381632652834,0.0009715419489795863,-0.01894803262244897,0.027861247285714277
Soccerfield-04,1,-6.135827700000001,2.9990958908163243,-5.046226109183674,139.0081714285714,-20.20919425510205,-0.8697558916326524,-4.25251601367347,3.9367196978571433,13.076757473979592,13.606547386734691,7.301813641836737,-0.6551304673469397,3.0320888306122433,-0.02915183092857145,-0.04309272363265307,0.020441553877551,-0.12421609214285712,-0.0004067640724489827,0.023024617551020348,0.3853948864285716,0.06555379799999991,0.023744660612244853,0.052904503368367335,0.22193314683673468,-0.05112429653061214,-0.10447982244897952,-0.004402995336734689,-0.03828446232653061,-0.013357687244897954,0.005983690979591838,-0.003914993571428567,0.006231409081632651,-0.0016173011020408216,0.023965307346938775,0.009650669591836719,0.021077455295918368,0.0108529327244898,0.014152120539795917,-0.007847921224489799
Soccerfield-05,0,-7.276891724489799,4.046482861224489,0.6260392001020408,130.35181938775509,-11.008728989795916,8.271615072142858,9.007992455612241,13.095220075510202,11.301547764285713,3.5674029031632664,7.272133364285714,2.2225854687755104,2.923109256734694,0.025607432918367326,-0.07428487765306122,0.11392905102040819,-0.05692176736734693,0.04227833245918363,0.1367665993877551,0.09161399646938775,0.04464625806122443,-0.007434877959183657,0.058034491224489795,0.040611855591836755,-0.010885296224489761,-0.0319713013265306,0.0065601391734693825,0.02883117336734693,-0.0011730503673469366,0.001550732428571424,-0.0150431608877551,0.002080556234693873,-0.00761603142857141,-0.021413727561224505,-0.029745531938775504,-0.01666587188775507,0.0139958674387755,-0.009883155306122443,-0.0052051144897958986
Soccerfield-06,0,-5.6841010408163255,3.201107043571429,5.466560047857142,128.89875714285705,-8.972547863265307,8.666795929591835,7.773224607142853,10.286985777551013,17.17152593459183,3.6239036846938766,-1.8800704051020405,4.339959562397961,3.193914493061224,-0.0009732032959183698,-0.01938018342857136,0.05808303408163264,0.03435601212244898,-0.09260847195918365,-0.10686638040816335,-0.14373176102040822,0.0027638624295918406,0.0752265666326531,-0.021602520102040796,0.002082829795918412,0.12278336928571427,0.09393732479591832,-0.009810449163265306,0.00820667020408164,-0.002604017244897955,-0.010237388704081635,0.002929209795918369,0.009072716832653073,-0.007516669897959189,-0.018265233008163267,-0.00801134214285716,0.013419086285714268,0.031134936428571406,0.0230459231632653,0.034777297459183676
Soccerfield-07,0,-6.604769489795917,1.2110297154081635,1.3725962854081633,127.64819387755101,-8.642068994897956,8.722222755102042,11.588916640816327,10.768029469387756,10.681004965306123,5.916421128571432,9.763263508163268,5.957090933469389,0.3531808309183671,-0.03997199755102041,0.08728164693877567,0.0818005043469388,-7.559897959183268e-05,0.007105144285714279,0.06436027612244892,0.17267943961224505,0.0896160397959184,-0.12875750183673476,-0.16447894224489798,-0.07778704183673474,-0.024974732448979606,0.04857352969387753,0.004155538360204073,-0.025893093061224483,0.0033514166326530635,-0.0013306282551020388,-0.002884652153061221,-0.019166768132653056,-0.01587039486734694,0.04445796539897958,0.04922455763163267,-0.019546310499999994,-0.02528893695918367,0.002069457724489778,-0.00394041357142857
Soccerfield-08,1,-7.300268295918371,2.324627152244898,-0.5607232785204074,130.92339591836733,-13.921995500000003,9.961056687755098,11.149207979591838,7.991229916326529,10.12604523979592,3.8820937651020393,-1.1386383999999987,5.327099490816328,8.638942617346938,-0.007674201908163265,0.010668254285714312,-0.13726773575510204,-0.0004044185714285516,-0.007423491908163297,-0.014892823530612222,-0.045821507448979566,-0.03551732265306111,0.06364280890816335,0.11906878013265305,-0.048012893979591846,-0.02569235612244898,0.20902760363265308,0.0012719420632653128,0.0011041485714285825,0.014950347448979563,0.0016200670306122432,0.0069971542857142875,-0.016268303540816317,-0.005116916318367347,0.01927742560204081,0.021019905969387763,0.001218881938775509,-0.03093677903061223,0.009781418571428545,0.013987389795918372
Soccerfield-09,0,-7.249305645918371,3.5967519514285717,-1.9214712020408165,127.63178265306122,-7.4637602450000005,7.104332349999999,10.245461685714291,16.356348418367347,13.594815268367347,4.47324179387755,1.820618840816326,1.9732009939795916,2.7351219683673467,0.0742888105408163,0.04740186919285711,0.05861327785714284,0.027837732755102044,-0.010968485632653046,-0.024991833273469332,0.04330823653061226,0.01681576520408163,-0.22196593061224498,-0.19330193378571428,0.09041889102040819,-0.021059925918367216,0.006568869989795982,-0.011884296469387757,-0.03561268399999998,-0.02394732908163267,0.0008499174551020393,-0.013990253775510204,0.0054655248979591925,0.019871313469387763,-0.00859263724387755,-0.014639268673469395,-0.020584853040816323,-0.01790808204591838,-0.0350869537755102,-0.06763292387755103
Soccerfield-10,0,-8.66239592857143,4.681852514285716,-3.6262242640816327,129.6486244897959,-8.113692887755105,8.412534986530614,11.65469375510204,16.555340989795916,13.81870071632653,4.761692158500002,1.0206238536734693,0.7751346262244895,2.156768678265306,-0.046391779999999994,-0.15405746785714283,-0.04337365234693882,-0.020997840489795916,0.08485088612857153,-0.036877160102040785,-0.10815217096938776,-0.03983431585714286,0.025525509867346922,0.07007738051020411,0.03294653765306127,0.0420636110408163,-0.029572893381530598,0.003914896989795919,0.028181851163265274,0.034782558183673463,-0.00029870188571428307,-0.0025072705978571278,-0.008383025581632663,0.029841129285714287,0.037991392957142864,0.001584887346938771,0.00120608706122447,-0.03465522723469388,-0.030778551826530595,0.02752238647959181
