name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-1.925333e+01;2.055696e+01;-1.750477e+01;1.659737e+01;-1.580571e+01;1.039667e+01;-1.100343e+00;-6.571387e+00;6.768867e+00;9.638923e-01;-8.539456e+00;7.958995e+00;8.709811e+00;2.704544e-02;-2.107206e-01;2.296209e-01;9.386120e-02;-3.063483e-01;3.995790e-02;1.229018e-01;3.768865e-01;-7.131842e-01;-8.358128e-02;1.097778e+00;-8.018967e-01;1.644287e-02;1.022555e-01;3.987381e-02;-1.941999e-01;1.281581e-01;6.575765e-02;-1.147333e-01;1.447417e-02;2.909121e-02;6.045250e-02;-2.198363e-01;2.967744e-01;-1.054897e-01;-6.487912e-02
'unknown';0.010000;-1.932101e+01;2.050108e+01;-1.896989e+01;1.956644e+01;-1.693765e+01;8.602509e+00;1.841600e-01;-5.483179e+00;5.481063e+00;1.032140e+00;-8.004885e+00;6.719718e+00;8.850499e+00;3.238619e-01;-6.650486e-02;-1.142146e-01;5.357485e-02;-1.353564e-01;3.866471e-01;-6.512430e-01;9.651481e-01;-7.355783e-01;-6.870462e-01;2.001926e+00;-1.287026e+00;-1.924535e-01;1.042878e-01;9.781107e-02;-3.109680e-01;2.227888e-01;8.108009e-02;-2.527097e-01;1.996399e-01;-1.113576e-01;1.207700e-01;-2.026343e-01;2.154664e-01;-3.880803e-02;-7.346342e-02
'unknown';0.020000;-1.908426e+01;1.953130e+01;-1.562410e+01;1.558214e+01;-1.677149e+01;1.149354e+01;-1.128085e+00;-5.231059e+00;3.846847e+00;5.118620e-01;-3.317851e+00;4.569150e+00;8.721682e+00;3.899147e-01;-8.345947e-02;-5.694607e-01;7.547951e-01;-6.305599e-02;-7.070530e-01;5.823450e-01;2.282118e-01;-3.997247e-01;-8.810303e-01;2.129576e+00;-1.086780e+00;-2.035046e-01;5.376741e-02;1.795042e-01;-4.871434e-01;4.368613e-01;5.981946e-02;-4.694824e-01;3.913767e-01;-1.599313e-01;1.791296e-01;-2.363553e-01;7.025433e-02;2.259514e-02;-4.977242e-02
'unknown';0.030000;-1.771856e+01;2.073727e+01;-1.901617e+01;1.737286e+01;-1.599961e+01;1.178147e+01;-4.342687e+00;-2.415811e+00;4.551985e+00;-2.245324e+00;-1.140629e+00;3.218786e+00;7.741609e+00;3.670498e-01;2.147041e-01;-9.256780e-01;8.773381e-01;-2.259407e-02;-8.500854e-01;8.913800e-01;-1.055643e-01;-2.660638e-01;-6.980281e-01;1.659211e+00;-8.534950e-01;-2.409005e-01;-9.208679e-02;6.178940e-02;-1.867680e-01;2.614891e-01;1.066735e-01;-5.453155e-01;4.585796e-01;-1.540898e-01;1.489380e-01;-1.049984e-01;-2.674242e-01;3.117008e-01;5.760662e-02
'unknown';0.040000;-1.810499e+01;2.002157e+01;-2.032893e+01;2.146814e+01;-1.659001e+01;5.271925e+00;4.074806e+00;-6.964012e+00;5.234782e+00;-1.802527e+00;-1.323703e+00;4.275559e+00;8.246734e+00;2.742886e-01;5.461960e-01;-1.800364e+00;1.866286e+00;-6.363221e-02;-1.689088e+00;1.308474e+00;1.125863e-01;-5.229359e-02;-1.259867e+00;1.620407e+00;-9.056866e-01;-2.081957e-01;-1.191937e-01;-1.016390e-02;1.917222e-01;-2.471676e-01;1.119114e-01;1.817614e-01;-3.846144e-01;1.621209e-01;2.281752e-01;-3.599884e-02;-5.982610e-01;5.370992e-01;7.104431e-02
'unknown';0.050000;-1.797540e+01;2.132946e+01;-2.124586e+01;2.101014e+01;-1.714136e+01;7.462891e+00;2.039614e+00;-5.144524e+00;3.456777e+00;-1.300806e+00;-7.059036e-01;2.599038e+00;7.883471e+00;-7.875900e-02;-7.238559e-02;-4.326027e-01;8.052748e-01;3.982992e-01;-1.848913e+00;1.278591e+00;2.525118e-01;-1.646040e-01;-1.022620e+00;9.193894e-01;1.809309e-01;9.792514e-02;-1.160195e-01;-1.944121e-01;6.157519e-01;-6.302614e-01;5.510368e-02;6.134001e-01;-6.795880e-01;1.569831e-01;1.288313e-01;3.053065e-01;-8.015707e-01;6.216898e-01;8.840058e-02
'unknown';0.060000;-1.758439e+01;2.196618e+01;-2.351108e+01;2.309493e+01;-1.651878e+01;5.207397e+00;2.223134e+00;-3.303771e+00;4.132983e+00;-6.259733e+00;4.566823e+00;3.505917e-01;7.609772e+00;1.685066e-02;9.265900e-03;1.426125e-01;-4.450113e-01;2.860545e-01;7.011676e-01;-1.534333e+00;8.597782e-01;6.904215e-01;-8.987287e-01;-4.918180e-01;1.081503e+00;-1.769581e-02;-9.606788e-02;-2.039698e-01;7.590593e-01;-7.993642e-01;-8.558050e-02;8.781950e-01;-5.826225e-01;-2.827335e-02;-2.385459e-01;8.919744e-01;-7.733224e-01;2.196135e-01;6.712952e-02
'unknown';0.070000;-1.837265e+01;1.940303e+01;-1.958811e+01;2.058584e+01;-1.404373e+01;2.569172e+00;2.976104e+00;-2.983372e+00;4.279864e+00;-5.129819e+00;5.110554e-01;6.085924e+00;8.549715e+00;-8.432885e-02;-4.888914e-01;1.181593e+00;-1.118320e+00;7.808094e-02;1.021788e+00;-1.085157e+00;3.057551e-01;6.735325e-03;6.479353e-01;-1.292530e+00;1.261359e+00;1.058525e-01;3.198611e-02;-1.524120e-02;2.225018e-01;-2.371618e-01;-3.089979e-01;5.980715e-01;-9.622985e-02;-1.675691e-01;-4.502890e-01;8.205171e-01;-1.405514e-01;-4.854630e-01;-3.415721e-02
'unknown';0.080000;-1.782211e+01;2.103111e+01;-2.044474e+01;1.945523e+01;-1.670855e+01;1.122462e+01;-4.065102e+00;-3.745697e+00;8.275346e+00;-4.381664e+00;-4.391273e+00;7.939630e+00;7.825132e+00;-2.032660e-01;-2.653999e-01;1.187834e+00;-1.168737e+00;-3.314256e-01;1.266537e+00;-4.227649e-01;-5.540216e-02;-1.330693e+00;2.364727e+00;-1.140245e+00;-3.478332e-01;1.234882e-01;1.650530e-02;9.720049e-02;-2.060335e-01;2.563602e-01;-1.333975e-01;-3.417929e-01;7.668387e-01;-4.135720e-01;-3.846234e-01;4.409235e-01;2.967338e-01;-6.000172e-01;-2.483980e-02
'unknown';0.090000;-1.827819e+01;1.935254e+01;-1.687107e+01;1.723839e+01;-1.665606e+01;9.563215e+00;-2.420521e-01;-3.394785e+00;1.419272e+00;9.998360e-01;-2.689504e+00;5.111315e+00;8.305053e+00;1.912298e-01;-1.125870e-02;1.572954e-01;-1.867123e-02;-8.379503e-01;8.587595e-01;2.416579e-01;-1.277436e-01;-1.405492e+00;1.448238e+00;5.408456e-01;-1.531716e+00;-1.434529e-01;-1.077101e-03;2.386980e-01;-4.971248e-01;4.374832e-01;-3.597949e-02;-3.596075e-01;5.040990e-01;-5.107636e-01;5.188971e-01;-4.206493e-01;1.632630e-01;-4.609125e-02;-2.789530e-02
